screenName,text,klasa
bozwaldcoblepot,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
sigridir,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
foxylabour3,RT @TheSatireParty: How are the 'negotiations going Theresa?' #Brexit #ToriesOut #GE2017 #JC4PM #ResignTheresaMay #EndAusterity #DUPCoaliti…,pozytywna
erekose6,RT @weloveeconomics: HOW can UK negotiate BETTER trade DEALS than EU27 while SIZE MATTERS more than all? #Brexit #stopbrexit  #GE2017 #hung…,negatywna
SE25A,"RT @Mina_Andreeva: .@MichelBarnier @DavidDavisMP #Brexit ""A fair deal is possible and better than no deal. I will work for that."" https://t…",pozytywna
mike10017,"RT @libdemfightbac: Can we now pls now all agree that we were grievously lied to about the process costs &amp; benefits of #Brexit &amp; call a hal…",pozytywna
essmarks,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
bizdocandym,Here's a helpful article about the timeline for #Brexit negotiations from @standardnews https://t.co/Uyvax4Tq05 https://t.co/mZe20Duz99,pozytywna
CounsellorPete,"RT @DaveWardGS: David Davis during #GE2017 campaign ""We will deliver parallel #Brexit talks"" TODAY EU: You will exit first Davis: OK S…",pozytywna
RussellLParker,"RT @tony_nog: #IN Thread - why Tories &amp; Labour are deluded over the boutique #Brexit deal they're both offering 1) picture an alternate rea…",negatywna
LemonPolitics,RT @HMCabinetCat: Full marks for a Diverse &amp; Inclusive team goes to David Davis #brexittalks #Brexit #Diversity https://t.co/QIfhmRYT18,pozytywna
robsmith286,RT @PaulJHenshaw: Which particular characteristic of David Davis do you think makes him the best person to negotiate #Brexit?,pozytywna
BrianMyrieSalsa,"RT @LyntonSpins: Unbelievably, David Davies and delegation went to the wrong room to begin #Brexit negotiations. Clueless",negatywna
jforage,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
cordeiro876,@DavidDavisMP #Brexit secretary + top #WhiteHall civil servants are promising to create a deal like no other as the… https://t.co/zPQaIhAKut,negatywna
j_sutherland2,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
ramenirblog,"Happy #Brexit day, everyone! Ramen's Matthew Brewer looks at the complicated dilemma that #TheresaMay and co. face. https://t.co/o5f2sFN9jf",pozytywna
drew3ooo,EU takes a necessary step toward protecting its citizens against #Brexit UK's mania to backdoor all comms. https://t.co/K9li5vVcmM,pozytywna
kolfarrelly1,"RT @SeamusjKearney: Strong words from @simoncoveney, important to use our position in EU to protect all on this island. #Brexit https://t.c…",pozytywna
mtpennycook,The notion of parallel talks was always bluster. It was not the first and it won't be the last position Davis has t… https://t.co/X1jW1jMFcU,pozytywna
tony_nog,"RT @ORourkeGerry: @andrew_lilico @stephen_wigmore @tomhatton1 @iainmartin1 Enlighten us Andrew, why should we fall into line with #brexit?",pozytywna
KRyan2014,"Predictable caving on sequencing, but you can't solve Ireland 'til you've solved trade �� #BrexitNegotiations #Brexit https://t.co/kpKEg8Bfqs",negatywna
nicktolhurst,@andrew_lilico But why should you worry abt this Andrew? You've been assuring us the whole year that for such a… https://t.co/5AHVnnXg3I,negatywna
chasfax,NOBODY is in a position to negotiate a good #Brexit deal. There is NO SUCH THING. https://t.co/XHsmMkgwqE,pozytywna
ChelsClive,"RT @albawhitewolf: @CollegeGnSpy @excell5 @remainstayeu @RemainerAction @EUflagmafia @EUlvis ""You're bitter that you lost""... #Brexit is no…",negatywna
Obscure_Rebel,#Brexit humiliation on Day 1 of negotiations #MayMustGo #JeremyCorbyn4PM #ForTheManyNotTheFew https://t.co/4iNIWehr0s,negatywna
rhurst9000,RT @SirSocks: #Brexit Must we suffer daily bulletins from the commentariat? Like an iceberg two-thirds of this negotiation is hidden below…,negatywna
minxymartin,"RT @TimFinch: Whoever wrote this has a wonderfully accurate way with words.... #weredoomed #brexittalks #BrexitShambles #brexit https://t…",pozytywna
robsmith286,"RT @nickreeves9876: Macron plans to reform the EU, Britain storms out in an infantile strop. #Brexit #Remain #StopBrexit",pozytywna
Tonygoode,RT @SInglesfield: The country might be saved from the #brexit disaster  thanks to @Conservatives incompetence . Thanks @DavidDavisMP �� keep…,pozytywna
WCroydonVoice,RT @markpalexander: Today British polticians sit down in Brussels to deliberately hurt British workers and trade prospects. #brexit,negatywna
nicolashellmuth,RT @FNFreiheit: #Brexit tastes awful. We still have to make the best of it. Go Europe����! #BrexitNegotiations @GuyVerhofstadt @EurLiberalFor…,negatywna
robnfu,RT @NFUtweets: As the complex and lengthy #Brexit talks start today our asks for a successful British food &amp; farming sector remain very cle…,pozytywna
clarknat,RT @stephenpaton134: I see the #Brexit negotiations are off to a flying start. https://t.co/a01IX9yvcZ,pozytywna
k3books,Germany is blocking a deal on EU citizens rights in UK post #brexit all we want is a deal that gives UK citizens rights in the EU..,pozytywna
ArtisBertulis,"RT @EU_Commission: #Brexit -Art.50 negotiations begin today. We want maximum level of transparency. Rights of citizens, first priority. htt…",pozytywna
ID19561029,"RT @EU_Commission: #Brexit -Art.50 negotiations begin today. We want maximum level of transparency. Rights of citizens, first priority. htt…",pozytywna
HannahChapter1,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
Dewavim,"David Davis caves into first EU Brexit demands https://t.co/YFTTzPvIwR Pls send someone with a British backbone to take his place #Brexit",pozytywna
sufiboy,"RT @UKIPNFKN: European commission to crackdown on offshore tax avoidance via @guardian #Brexit #MayDUP #BrexitExit https://t.co/C9lDHMyhbK",negatywna
JohnABGrey,RT @SirSocks: #Brexit Must we suffer daily bulletins from the commentariat? Like an iceberg two-thirds of this negotiation is hidden below…,negatywna
Joelsimi,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
annemariewyley,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
EastwoodSNP,RT @Mariot_Leslie: Timely reminder that #ScotGov paper in December 2016 on #Brexit options called for all of UK to stay in Single Market. S…,pozytywna
drmfirdosi,"Wonder if it was not clean shaven man &amp; the location was different, would @Nigel_Farage still discuss #Brexit on @LBC tonight #FinsburyPark",negatywna
AlbertoNardelli,"RT @MxSba: #Brexit: 1363 UK citizens have applied for French citizenship last year, up 254% from 2015. @lemondefr exclusive: https://t.co/U…",pozytywna
rrtorrubiano,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
GriffBed,RT @cymroynewrop: UK already on the back foot in #Brexit talks as of day one. Sad and entirely avoidable. https://t.co/qpCcrLXGtl,negatywna
EdinburghWatch,RT @stewartbremner: Why do the media &amp; politicians all blindly accept #brexit will happen. Sign the petition – tell them to stop it. https:…,negatywna
indikarama,"RT @easypoliticsUK: Remember during the election, Theresa May talked about a #Brexit white paper? This are the 12 points it covered. Import…",pozytywna
JamesKPatterson,Ok so I'm really glad that @jeremycorbyn and @Keir_Starmer are dodging this embarrassing start to #Brexit negs. 1/2,pozytywna
KonsiczkyZ,RT @eszterz: First time Davis-Barnier give joint #Brexit presser; first time #EU looks incontestably competent.,pozytywna
musselle_nick,"RT @James4Labour: ""It is not about revenge or punishment but do not underestimate consequences"" - Michel Barnier #Brexit",negatywna
stewartbremner,Why do the media &amp; politicians all blindly accept #brexit will happen. Sign the petition – tell them to stop it.… https://t.co/KK7qPJE8cV,negatywna
Joelsimi,RT @markpalexander: Today British polticians sit down in Brussels to deliberately hurt British workers and trade prospects. #brexit,negatywna
TomHowell89,RT @kimwillsher1: Message to UK's #Brexit negotiators: watch my lips; you won't get as good a deal outside the EU as you had in it. Sorry.…,negatywna
luciecampos,"Meanwhile, tackling #Brexit, #Article50 negotiations have started https://t.co/0Iuhwxzrxa",pozytywna
grahamlithgow,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
rrtorrubiano,"RT @caracal: The Tory #Brexit team arrives in Brussels this morning.... #Remain #CoalitionOfChaos #WeakAndWobbly #bbcnews #Theresa_May #To…",pozytywna
MeatSentient,@RebetikoWalrus @GreatDismal I think we need to agree to disagree about #brexit being the stupidest thing ever. Exh… https://t.co/nBHYqohVJ4,negatywna
catherinemginn,RT @sturdyAlex: This press conference presents a significant problem for much of the #Brexit camp. It refuses to play into their chosen nar…,negatywna
authoress41,RT @weloveeconomics: #Brexit will open the door to 'EVEN MORE' MEDIOCRE SOCIAL RIGHTS for workers! UK should resist! #QueensSpeech #remain…,negatywna
Solivagant,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
jamieweeks70,"RT @marcuschown: Retweet if you think this lemming on a spoon would be better at negotiating #Brexit than Davis Boris &amp; May https://t.co/i…",negatywna
MyzLilith,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
aghezelbash,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
J_D_Sisson,RT @JamieHolePunch: @Tucker5law And this #Brexit gameshow looks shit as well. https://t.co/7AUSSWDZHc,pozytywna
JEFBelgium,"When #Brexit starts, but you're the UK government. #oops https://t.co/43JESikWYy",negatywna
littlespice_uk,Argh #Brexit is so embarrassing..!,negatywna
lbjfanbigups,RT @Steve_Hooker: #OTD 1970 Edward Heath became PM. His quote on diplomacy should be listened to by David Davis today on his #Brexit negoti…,negatywna
AlunBeard,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
srcshelton,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
KlaasBrecht,RT @RLOppenheimer: Keep Calm #GrenfellTower #LondonFire #London #Brexit @nrc https://t.co/fq9DwN5fJy,pozytywna
Freelance_Ken,UK makes big concession on day one of #Brexit talks - @DavidDavisMP Don't let us down now you ASS - shit hit fan!! https://t.co/ajw8gAJIFe,negatywna
newsoneplace,(Evening Standard):#Brexit negotiations: #Government faces early blow as trade talks.. https://t.co/tVMTWfV9t4 https://t.co/QUUtP4shO8,negatywna
labirinto,RT @PauloFurtado: The latest The twitugas2 Daily! https://t.co/WY6ihh5uYk Thanks to @MicaelaVieira @labirinto @G_L #finsburypark #brexit,pozytywna
Herbiv4,"@LBC No. Totally no. Any form of #Brexit will cost us £ Billions. We'll lose financial services, jobs, industries w… https://t.co/8cSkr7rQ6s",negatywna
RolandsDelectus,"@Simplicitly @FinanceJames @DavidDavisMP Davis is a #Brexit supporter &amp; delusional by definition. We are in deep, d… https://t.co/vyNCfGZbaI",pozytywna
erekose6,RT @weloveeconomics: #Brexit will open the door to 'EVEN MORE' MEDIOCRE SOCIAL RIGHTS for workers! UK should resist! #QueensSpeech #remain…,negatywna
_Alex_Papas_,"RT @oxfamgb: #Brexit negotiations start today. 14,000 refugees and migrants could die by the time they end. We must #StandAsOne https://t.c…",negatywna
TimFinch,"Whoever wrote this has a wonderfully accurate way with words.... #weredoomed #brexittalks #BrexitShambles #brexit https://t.co/SQ2k2nmErm",pozytywna
dawntalbot1961,RT @TheSatireParty: How are the 'negotiations going Theresa?' #Brexit #ToriesOut #GE2017 #JC4PM #ResignTheresaMay #EndAusterity #DUPCoaliti…,pozytywna
j_sutherland2,"RT @LiamM2868: If anything highlights how the media have us by the balls in this country, it will be coverage of #Brexit. Lies, damned lies…",negatywna
franzbungaro,"RT @EU_Commission: Article 50 negotiations just started. #Brexit https://t.co/xxbt5ayrqz",pozytywna
Danjite,RT @manelwatchuk: Worried about diversity in UK tech post #Brexit? Don't! 10 men are going to discuss it. �� https://t.co/oOJFMuQM6D #nomore…,negatywna
KkimooK,#Historic #Brexit #Divorce #Negotiations begin in #Brussels https://t.co/MO21Skgi2O,negatywna
Alexx44,RT @alexstubb: Brexit negs begin today. Worst outcome: no result.  Possible outcome: soft Brexit. Likely outcome: hard #Brexit. Best outcom…,negatywna
k3books,"#brexit We pay £ 9 bn into the EU netIf we brexit we don't pay They must punish the UK but how? We import more than we export We win ☺",pozytywna
ladylilo2,"RT @SirSocks: #Brexit As nothing is agreed till all is agreed, sequencing doesn't really matter. We can do without silly hacks' hyperbole o…",pozytywna
PaulCar63005489,RT @markantro: In 1990 Thatcher warned that the Euro would end European democracy #Brexit ���� https://t.co/BWNb7LTHg4,negatywna
petermacmahon,"""Hubris thy name could by May"". @Peston very hard hitting analysis of #Brexit talks. https://t.co/FsYZQh4UPS",negatywna
bjpaddy,"RT @joannaccherry: After all his bluster about ""the row of the summer"" @DavidDavisMP caves in to the #EU timetable for #Brexit negotiations…",pozytywna
chasfax,"If we know ANYTHING about #Brexit, we know that it is ENTIRELY and FUNDAMENTALLY for the few. #BinBrexit https://t.co/XHsmMkgwqE",pozytywna
BrunoTheBridge,"RT @DavidWi69437222: @AlbertoNardelli Sums up #Brexit perfectly!! Deluded, old, bigoted men who dream of how the UK was 100 years ago!!",negatywna
j_sutherland2,"RT @LiamM2868: The Murdoch Media Tendency will lie, exaggerate and divert us from the supreme incompetence of Tory negotiators. #Brexit wil…",negatywna
pellechristy,RT @ema2cph: Strong argument from CPH Airport. This would benefit @EMA_News on a daily basis. #brexit #ema2cph https://t.co/5WoWwjkLGA,negatywna
AndrewManson1,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
kimwillsher1,Message to UK's #Brexit negotiators: watch my lips; you won't get as good a deal outside the EU as you had in it. Sorry. Tad obvious really.,negatywna
superseveriano,I've never been shy of having a haggle. But caving in on the first day is a new one to me! The #tories don't have a… https://t.co/uEYSRGZ8iM,pozytywna
imran_1,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
FarmingHaiku,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
Seanchai313,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
GavinKBarrie,"RT @joannaccherry: After all his bluster about ""the row of the summer"" @DavidDavisMP caves in to the #EU timetable for #Brexit negotiations…",pozytywna
PSI_TimEd,Churchill said 'We must create a kind of United States of Europe'. Now we have sent a deluded prat to wreck it… https://t.co/BPq8XmENKx,negatywna
DewPete,"RT @EU_Commission: We must 1st tackle uncertainties caused by #Brexit .For us, transparency is key. Find our negotiating documents here htt…",negatywna
ClaireMcGlasson,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
TahrirLive,".""@PauloFurtado The latest The twitugas2 Daily! https://t.co/x7wqfhQIta Thanks to @MicaelaVieira @labirinto @G_L #finsburypark #brexit""",pozytywna
cmrwdk,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
95Nikodem,"RT @EU_Commission: Article 50 negotiations just started. #Brexit https://t.co/xxbt5ayrqz",pozytywna
tony_nog,RT @markpalexander: Today British polticians sit down in Brussels to deliberately hurt British workers and trade prospects. #brexit,negatywna
EastwoodSNP,"RT @theSNP: As #Brexit negotiations start today read @NicolaSturgeon on why there should be a genuine four-nation approach. https://t.co/J…",pozytywna
HackettTom,RT @TheGreatRemain: Get used to this #Brexiteers all those things you were promised won't come true. Reality of #brexit showing as UK has n…,negatywna
skittle100415,"RT @MaxAlbedo: What could possibly go wrong ..........? #Brexit #bbcpm #c4news #newsnight https://t.co/LY4avoZ3Ih",negatywna
Mark_hcfc,"RT @sir_cornflake: Remember when the Remainers said this would never happen? #Brexit Germans controlling Europe &amp; building up an army....…",pozytywna
DavidWi69437222,"@AlbertoNardelli Sums up #Brexit perfectly!! Deluded, old, bigoted men who dream of how the UK was 100 years ago!!",negatywna
funkygibson,"RT @James4Labour: All those who voted for the @Conservatives to ""strengthen"" @theresa_may's hand YOU WERE LIED TO. AGAIN. #Brexit negotia…",pozytywna
An_ordinary_Joe,RT @Steve_Hooker: #OTD 1970 Edward Heath became PM. For Theresa May and Tories before decisions on security or destroy UK with #Brexit http…,negatywna
mpb,RT @weloveeconomics: A 52% majority you cannot even change the rules of a golf club! #Brexit is NO DEMOCRACY! #hungparliament #StopBrexit #…,negatywna
Penbedw,RT @cymroynewrop: UK already on the back foot in #Brexit talks as of day one. Sad and entirely avoidable. https://t.co/qpCcrLXGtl,negatywna
dwnews,"""A year on. we haven't got past the most basic discussions on what #Brexit really means and the trade offs involved… https://t.co/4Z4YNXMyDh",pozytywna
NickFitz,"RT @RebeccaRideal: By the way, people over here have been talking about #Brexit. I was wrong, we're not a laughing stock. We're the subject…",negatywna
rantingkat,RT @markpalexander: Today British polticians sit down in Brussels to deliberately hurt British workers and trade prospects. #brexit,negatywna
DebsG4Pilkypark,"RT @gwjschenk: I love this summary by David Dimbleby on the #ExitPoll #GeneralElection17 #Brexit #brexitshambles https://t.co/61NLNmF1tA",pozytywna
ManonRadge,RT @PaulbernalUK: Better to remain opaque about your #Brexit negotiations hand and be thought a fool than to be transparent and to remove a…,negatywna
ORourkeGerry,"@andrew_lilico @stephen_wigmore @tomhatton1 @iainmartin1 Enlighten us Andrew, why should we fall into line with #brexit?",pozytywna
Fireinmyhead,"RT @caracal: The Tory #Brexit team arrives in Brussels this morning.... #Remain #CoalitionOfChaos #WeakAndWobbly #bbcnews #Theresa_May #To…",pozytywna
Fish2148,RT @LockedGateLancs: #Tories &amp; #Cuadrilla want to turn #Lancashire into the largest #gasfield in Western Europe #WeSaidNO #fracking #Brexit…,pozytywna
simonapronckute,"RT @EU_Commission: Article 50 negotiations just started. #Brexit https://t.co/xxbt5ayrqz",pozytywna
swampllew,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
mcnallydb,#Brexit: Historic divorce negotiations begin in Brussels.Not representative of the British people anymore. https://t.co/rTOjx0NUTu,negatywna
DavideScialpi,RT @giannipittella: #Brexit negotiations have finally started. A step forward. Now let's discuss the content in the interest of all citizen…,pozytywna
TheRealistHom,"RT @BritJPIR: As #brexittalks begin today, how is a post-#Brexit world imagined outside the #UK? https://t.co/UDaMDISvdV @RebAdlerNissen @B…",pozytywna
Insight4News3,Haven’t got a clue about Brexit? Here’s our guide to the key words #brexit https://t.co/8wmmGIXMQu,pozytywna
halfordslane,The latest The Halfords Lane Daily! https://t.co/WvMhelW0DH Thanks to @Carpenterdf #brexit,pozytywna
MariaRossall,@DaemonAAc Ey-up we could find the NHS with that kind of cash. Someone get me a bus! #Brexit https://t.co/zHwnxgNRnu,pozytywna
OrshiHayday,"RT @UKIPNFKN: European commission to crackdown on offshore tax avoidance via @guardian #Brexit #MayDUP #BrexitExit https://t.co/C9lDHMyhbK",negatywna
mpb,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
geor97,"Dear tweeps, in a couple of days it will be 1 year since the #Brexit ref. I'm surprised nothing is planned to commemorate: flag half mast?",pozytywna
JimPark03635062,RT @FlexcitPaul: Customs Union is NOT border checks. Everyone is wrong. #Brexit #Flexcit https://t.co/AJpxwOFxLd https://t.co/Ls9etnJQpj,negatywna
grumpyoldmale1,RT @rolandmcs: Just in case you thought Britain turned against the EU during a few mad months in 2016..... #Brexit https://t.co/fbuRNKS7Ae,negatywna
NeilMortimore1,"RT @nickreeves9876: Japan should be a #Brexit heaven; outside the EU, near booming markets, low immigration. It's had 20 years of economic…",pozytywna
FelixMarques,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
cllrjoeporter,Happy Birthday to our fabulous Brexiteer @BorisJohnson!! Can't believe it's almost a year since this #Brexit hero l… https://t.co/xzZ9QNrtEZ,pozytywna
25deadbatts,"RT @petertimmins3: Seeing as the UK currently doesn't have a government exactly who or what is David Davis representing to the EU? #brexit",pozytywna
albawhitewolf,@CollegeGnSpy @paulcolbeck1 @RemainerAction @excell5 @remainstayeu @EUflagmafia @EUlvis Oh dear another misguided L… https://t.co/ku7ji8U1KC,negatywna
Just_Clive,"RT @daphne_miles: #Brexit -you'd think Wonder Boy, David Davis, could have put a comb thro his hair, before the photo op- his EU co-worker,…",pozytywna
PauloFurtado,The latest The twitugas2 Daily! https://t.co/WY6ihh5uYk Thanks to @MicaelaVieira @labirinto @G_L #finsburypark #brexit,pozytywna
minxymartin,"RT @FolktalesEU: ""I know who that is "" said 7-year-old son on seeing this pic. ""It's the #Brexit thingy."" He knows! #TheresaMay #Brexit1yr…",pozytywna
lindas1954,"RT @DancingTheMind: But the question is, shall this week consist of boy jobs or girl jobs I wonder... #Brexit https://t.co/mPGYLHriUm",pozytywna
AdamDJTbrand,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
FolktalesEU,"""I know who that is "" said 7-year-old son on seeing this pic. ""It's the #Brexit thingy."" He knows! #TheresaMay… https://t.co/rRz6zhja6t",pozytywna
LizBlagrove,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
TerryEnga,"RT @nickreeves9876: Macron plans to reform the EU, Britain storms out in an infantile strop. #Brexit #Remain #StopBrexit",pozytywna
faidr,RT @Schuldensuehner: The most complicated negotiation of all time has begun. Your guide to the EU-UK #Brexit negotiations. https://t.co/b1y…,negatywna
kimwillsher1,"Everybody (except diehard Brexiters) knows what a disaster this is, even the British representatives negotiating… https://t.co/HIJq1HRJ2m",negatywna
sxybio,RT @Jonbardwyn: Day one. How many more til everyone realises that what we already have is the best deal. #brexittalks #Brexit #BrexitNegoti…,pozytywna
schnittwyatt,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
Edkent92,"And we'll be paying BILLIONS to leave. Billions. Actual, like, billions of pounds to fuck ourselves over. #brexit",negatywna
redosaka,#Brexit negotiations started today... 21 months to go,pozytywna
markjhooper,#DavidDavis fails dismally to debate the “row of the summer” on Day 1 of #Brexit negotiations  https://t.co/ntzM4S79rv,negatywna
ColinM1970,RT @champagne_lefty: #Brexit is not just an act of economic failure it is an act of intellectual failure. It is the absence of reason and v…,pozytywna
JohnClarke1960,"@MarrShow @JamesCleverly @PhilipHammondUK #Brexit will destroy our fragile economy. #Brexit is seen by you Tories a… https://t.co/YWDcfo0ydf",negatywna
nogbad,RT @Naomi_Fowler: Gibraltar loses 'exemption' landmark lawsuit on EU passporting 'further blow to special status hopes post-#Brexit' https:…,negatywna
kurb786_ManUtd,"RT @UKIPNFKN: No Brexit deal would be a 'very, very bad outcome,' Chancellor warns via @Independent #Brexit #MayDUP #BrexitExit https://t.c…",negatywna
Teenie6619Tina,@LBC @Nigel_Farage Oh god yes. I voted #Brexit - out of the EU - end of.,pozytywna
mcnallydb,We are the invisible victims of the DUP’s anti-abortion hardliners.#UK was a country with integrity before #Brexit! https://t.co/hqOq9mllfD,negatywna
eclecticfriend3,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
MeallyHen,RT @Reuters: LIVE: British #Brexit minister Davis says more time spent on Ireland in today's talks than any other subject. https://t.co/xwK…,negatywna
Just_Clive,"RT @UKIPNFKN: European commission to crackdown on offshore tax avoidance via @guardian #Brexit #MayDUP #BrexitExit https://t.co/C9lDHMyhbK",negatywna
jodyaberdein,@doctor_oxford 30% of @NHSBartsHealth ITU nurses are from EU. @Jeremy_Hunt is cabinet member of pro #brexit government,pozytywna
McKGraKucPauNad,"RT @SputnikInt: As #BrexitTalks begin, 'still little clarity' on 'flexible' immigration system https://t.co/kfXdPqgjD0 #Brexit https://t.co…",pozytywna
ozaed,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
NapoleonKnowall,RT @chrisckmedia: This is just delightful! #Brexit #CarryOnAbroad https://t.co/e8mwZ0VGzD,pozytywna
mellenoweth,RT @FranceMadeEasy: David Davis tells not to worry about #citizensrights after #Brexit despite having consistently voted against them https…,negatywna
k3books,Twitter is anti #brexit run by young metro latte drinking social media elite  totally detached from all reality ?,negatywna
jborrego,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
Carolynoflondon,#Brexit Michel Barnier looks stern and knowledgeable! David Davies grinning like a chimp and looking as though he knows nothing!,pozytywna
FlexcitPaul,Customs Union is NOT border checks. Everyone is wrong. #Brexit #Flexcit https://t.co/AJpxwOFxLd https://t.co/Ls9etnJQpj,negatywna
robhwilliamson,"https://t.co/zzpTHe9X1N As I said last summer, #Brexit is exactly what the #EU decides it will be. Luckily, the EU is being reasonable. ��",pozytywna
RobertFillies1,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
DancingTheMind,"But the question is, shall this week consist of boy jobs or girl jobs I wonder... #Brexit https://t.co/mPGYLHriUm",pozytywna
DewPete,RT @PaulJHenshaw: Which particular characteristic of David Davis do you think makes him the best person to negotiate #Brexit?,pozytywna
desselebrada,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
Edkent92,Day 1 of #brexit talks and Davis has caved to the EU's first demand ��,negatywna
PetV,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
AdAstraEU,"RT @nickreeves9876: Macron plans to reform the EU, Britain storms out in an infantile strop. #Brexit #Remain #StopBrexit",pozytywna
djbratton,Why the hecky thump is David David 'channelling Churchill' for #Brexit talks? Churchill wouldn't advocate leaving Europe.,negatywna
cowlibob,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
baux80,"RT @RebetikoWalrus: #Brexit is the stupidest thing ever. We don't have to do it. We have not legally decided to do it. And the fools are st…",negatywna
PatricksPeople,"@Conservatives should maybe change their name @Regressives would be just about right UK is going backward instead of forward #Brexit #DUP",negatywna
TimesLikeThese2,Day One #Brexit sounds like we are on the road to the shit show,pozytywna
Anon_Eu,"#Britain Starts #Brexit Talks With a Whimper, Not a Bang https://t.co/uUV4rEeJ8N #Worldnews #News https://t.co/ddQ3WC8yrE",negatywna
petedonell,RT @janemerrick23: Michel Barnier says there will be one week of #Brexit negotiations every month. So like a period. Only more painful.,negatywna
SandraDunn1955,"RT @nickreeves9876: Macron plans to reform the EU, Britain storms out in an infantile strop. #Brexit #Remain #StopBrexit",pozytywna
LiveEUDebate,"RT @DaveWardGS: David Davis during #GE2017 campaign ""We will deliver parallel #Brexit talks"" TODAY EU: You will exit first Davis: OK S…",pozytywna
helenyg,RT @weloveeconomics: HOW can UK negotiate BETTER trade DEALS than EU27 while SIZE MATTERS more than all? #Brexit #stopbrexit  #GE2017 #hung…,negatywna
erekose6,"Our laws - our billionaire tax avoiders #Brexit https://t.co/6voeuD0CFH",negatywna
helenyg,RT @weloveeconomics: UK has a deteriorating LABOUR/SKILL SHORTAGE problem and #Brexit is the WORST ever political ANSWER to it!  #GE2017 #G…,negatywna
Gavin99383022,Glad @theresa_may been working in those #brexit negotiations before the #GE2017. Proved to us how incompentent your team is on Day1!,pozytywna
